REGION,FUEL,YEAR,VALUE
RE1,AGFELC,2022,0.0
RE1,AGFELC,2023,0.0
RE1,AGFELC,2024,0.0
RE1,AGFELC,2025,0.0
RE1,AGFELC,2026,0.0
RE1,AGFELC,2027,0.0
RE1,AGFELC,2028,0.0
RE1,AGFELC,2029,0.0
RE1,AGFELC,2030,0.0
RE1,AGFELC,2031,0.0
RE1,AGFELC,2032,0.0
RE1,AGFELC,2033,0.0
RE1,AGFELC,2034,0.0
RE1,AGFELC,2035,0.0
RE1,AGFELC,2036,0.0
RE1,AGFELC,2037,0.0
RE1,AGFELC,2038,0.0
RE1,AGFELC,2039,0.0
RE1,AGFELC,2040,0.0
RE1,AGFELC,2041,0.0
RE1,AGFELC,2042,0.0
RE1,AGFELC,2043,0.0
RE1,AGFELC,2044,0.0
RE1,AGFELC,2045,0.0
RE1,AGFELC,2046,0.0
RE1,AGFELC,2047,0.0
RE1,AGFELC,2048,0.0
RE1,AGFELC,2049,0.0
RE1,AGFELC,2050,0.0
RE1,AGFELC,2051,0.0
RE1,AGFELC,2052,0.0
RE1,AGFELC,2053,0.0
RE1,AGFELC,2054,0.0
RE1,AGFELC,2055,0.0
RE1,AGFHEA,2022,40.43784152085318
RE1,AGFHEA,2023,41.56887983459023
RE1,AGFHEA,2024,44.60165786844903
RE1,AGFHEA,2025,46.25222662407501
RE1,AGFHEA,2026,47.52123531639482
RE1,AGFHEA,2027,48.88454499874394
RE1,AGFHEA,2028,50.30546807196797
RE1,AGFHEA,2029,51.7725982673191
RE1,AGFHEA,2030,53.27592555995852
RE1,AGFHEA,2031,54.81579866447733
RE1,AGFHEA,2032,56.40553969914638
RE1,AGFHEA,2033,58.04759293042319
RE1,AGFHEA,2034,59.73729694532589
RE1,AGFHEA,2035,61.56970248305665
RE1,AGFHEA,2036,63.45715834148147
RE1,AGFHEA,2037,65.47780759258903
RE1,AGFHEA,2038,67.55961944005458
RE1,AGFHEA,2039,69.70450009114921
RE1,AGFHEA,2040,71.91435651904808
RE1,AGFHEA,2041,74.19117787300256
RE1,AGFHEA,2042,76.76807086595429
RE1,AGFHEA,2043,79.42456106977379
RE1,AGFHEA,2044,82.16305279856121
RE1,AGFHEA,2045,84.98602629019061
RE1,AGFHEA,2046,87.89604019796562
RE1,AGFHEA,2047,90.89578867411056
RE1,AGFHEA,2048,94.14622803325813
RE1,AGFHEA,2049,97.73704462066304
RE1,AGFHEA,2050,101.4428375701578
RE1,AGFHEA,2051,105.2670369500742
RE1,AGFHEA,2052,109.213162686232
RE1,AGFHEA,2053,113.2847725996942
RE1,AGFHEA,2054,117.5191848640635
RE1,AGFHEA,2055,117.5191848640635
RE1,BAG,2022,0.0
RE1,BAG,2023,0.0
RE1,BAG,2024,0.0
RE1,BAG,2025,0.0
RE1,BAG,2026,0.0
RE1,BAG,2027,0.0
RE1,BAG,2028,0.0
RE1,BAG,2029,0.0
RE1,BAG,2030,0.0
RE1,BAG,2031,0.0
RE1,BAG,2032,0.0
RE1,BAG,2033,0.0
RE1,BAG,2034,0.0
RE1,BAG,2035,0.0
RE1,BAG,2036,0.0
RE1,BAG,2037,0.0
RE1,BAG,2038,0.0
RE1,BAG,2039,0.0
RE1,BAG,2040,0.0
RE1,BAG,2041,0.0
RE1,BAG,2042,0.0
RE1,BAG,2043,0.0
RE1,BAG,2044,0.0
RE1,BAG,2045,0.0
RE1,BAG,2046,0.0
RE1,BAG,2047,0.0
RE1,BAG,2048,0.0
RE1,BAG,2049,0.0
RE1,BAG,2050,0.0
RE1,BAG,2051,0.0
RE1,BAG,2052,0.0
RE1,BAG,2053,0.0
RE1,BAG,2054,0.0
RE1,BAG,2055,0.0
RE1,BDL,2022,0.0
RE1,BDL,2023,0.0
RE1,BDL,2024,0.0
RE1,BDL,2025,0.0
RE1,BDL,2026,0.0
RE1,BDL,2027,0.0
RE1,BDL,2028,0.0
RE1,BDL,2029,0.0
RE1,BDL,2030,0.0
RE1,BDL,2031,0.0
RE1,BDL,2032,0.0
RE1,BDL,2033,0.0
RE1,BDL,2034,0.0
RE1,BDL,2035,0.0
RE1,BDL,2036,0.0
RE1,BDL,2037,0.0
RE1,BDL,2038,0.0
RE1,BDL,2039,0.0
RE1,BDL,2040,0.0
RE1,BDL,2041,0.0
RE1,BDL,2042,0.0
RE1,BDL,2043,0.0
RE1,BDL,2044,0.0
RE1,BDL,2045,0.0
RE1,BDL,2046,0.0
RE1,BDL,2047,0.0
RE1,BDL,2048,0.0
RE1,BDL,2049,0.0
RE1,BDL,2050,0.0
RE1,BDL,2051,0.0
RE1,BDL,2052,0.0
RE1,BDL,2053,0.0
RE1,BDL,2054,0.0
RE1,BDL,2055,0.0
RE1,BET,2022,0.0
RE1,BET,2023,0.0
RE1,BET,2024,0.0
RE1,BET,2025,0.0
RE1,BET,2026,0.0
RE1,BET,2027,0.0
RE1,BET,2028,0.0
RE1,BET,2029,0.0
RE1,BET,2030,0.0
RE1,BET,2031,0.0
RE1,BET,2032,0.0
RE1,BET,2033,0.0
RE1,BET,2034,0.0
RE1,BET,2035,0.0
RE1,BET,2036,0.0
RE1,BET,2037,0.0
RE1,BET,2038,0.0
RE1,BET,2039,0.0
RE1,BET,2040,0.0
RE1,BET,2041,0.0
RE1,BET,2042,0.0
RE1,BET,2043,0.0
RE1,BET,2044,0.0
RE1,BET,2045,0.0
RE1,BET,2046,0.0
RE1,BET,2047,0.0
RE1,BET,2048,0.0
RE1,BET,2049,0.0
RE1,BET,2050,0.0
RE1,BET,2051,0.0
RE1,BET,2052,0.0
RE1,BET,2053,0.0
RE1,BET,2054,0.0
RE1,BET,2055,0.0
RE1,BGS,2022,0.0
RE1,BGS,2023,0.0
RE1,BGS,2024,0.0
RE1,BGS,2025,0.0
RE1,BGS,2026,0.0
RE1,BGS,2027,0.0
RE1,BGS,2028,0.0
RE1,BGS,2029,0.0
RE1,BGS,2030,0.0
RE1,BGS,2031,0.0
RE1,BGS,2032,0.0
RE1,BGS,2033,0.0
RE1,BGS,2034,0.0
RE1,BGS,2035,0.0
RE1,BGS,2036,0.0
RE1,BGS,2037,0.0
RE1,BGS,2038,0.0
RE1,BGS,2039,0.0
RE1,BGS,2040,0.0
RE1,BGS,2041,0.0
RE1,BGS,2042,0.0
RE1,BGS,2043,0.0
RE1,BGS,2044,0.0
RE1,BGS,2045,0.0
RE1,BGS,2046,0.0
RE1,BGS,2047,0.0
RE1,BGS,2048,0.0
RE1,BGS,2049,0.0
RE1,BGS,2050,0.0
RE1,BGS,2051,0.0
RE1,BGS,2052,0.0
RE1,BGS,2053,0.0
RE1,BGS,2054,0.0
RE1,BGS,2055,0.0
RE1,BMET,2022,0.0
RE1,BMET,2023,0.0
RE1,BMET,2024,0.0
RE1,BMET,2025,0.0
RE1,BMET,2026,0.0
RE1,BMET,2027,0.0
RE1,BMET,2028,0.0
RE1,BMET,2029,0.0
RE1,BMET,2030,0.0
RE1,BMET,2031,0.0
RE1,BMET,2032,0.0
RE1,BMET,2033,0.0
RE1,BMET,2034,0.0
RE1,BMET,2035,0.0
RE1,BMET,2036,0.0
RE1,BMET,2037,0.0
RE1,BMET,2038,0.0
RE1,BMET,2039,0.0
RE1,BMET,2040,0.0
RE1,BMET,2041,0.0
RE1,BMET,2042,0.0
RE1,BMET,2043,0.0
RE1,BMET,2044,0.0
RE1,BMET,2045,0.0
RE1,BMET,2046,0.0
RE1,BMET,2047,0.0
RE1,BMET,2048,0.0
RE1,BMET,2049,0.0
RE1,BMET,2050,0.0
RE1,BMET,2051,0.0
RE1,BMET,2052,0.0
RE1,BMET,2053,0.0
RE1,BMET,2054,0.0
RE1,BMET,2055,0.0
RE1,BMETL,2022,0.0
RE1,BMETL,2023,0.0
RE1,BMETL,2024,0.0
RE1,BMETL,2025,0.0
RE1,BMETL,2026,0.0
RE1,BMETL,2027,0.0
RE1,BMETL,2028,0.0
RE1,BMETL,2029,0.0
RE1,BMETL,2030,0.0
RE1,BMETL,2031,0.0
RE1,BMETL,2032,0.0
RE1,BMETL,2033,0.0
RE1,BMETL,2034,0.0
RE1,BMETL,2035,0.0
RE1,BMETL,2036,0.0
RE1,BMETL,2037,0.0
RE1,BMETL,2038,0.0
RE1,BMETL,2039,0.0
RE1,BMETL,2040,0.0
RE1,BMETL,2041,0.0
RE1,BMETL,2042,0.0
RE1,BMETL,2043,0.0
RE1,BMETL,2044,0.0
RE1,BMETL,2045,0.0
RE1,BMETL,2046,0.0
RE1,BMETL,2047,0.0
RE1,BMETL,2048,0.0
RE1,BMETL,2049,0.0
RE1,BMETL,2050,0.0
RE1,BMETL,2051,0.0
RE1,BMETL,2052,0.0
RE1,BMETL,2053,0.0
RE1,BMETL,2054,0.0
RE1,BMETL,2055,0.0
RE1,COA,2022,0.0
RE1,COA,2023,0.0
RE1,COA,2024,0.0
RE1,COA,2025,0.0
RE1,COA,2026,0.0
RE1,COA,2027,0.0
RE1,COA,2028,0.0
RE1,COA,2029,0.0
RE1,COA,2030,0.0
RE1,COA,2031,0.0
RE1,COA,2032,0.0
RE1,COA,2033,0.0
RE1,COA,2034,0.0
RE1,COA,2035,0.0
RE1,COA,2036,0.0
RE1,COA,2037,0.0
RE1,COA,2038,0.0
RE1,COA,2039,0.0
RE1,COA,2040,0.0
RE1,COA,2041,0.0
RE1,COA,2042,0.0
RE1,COA,2043,0.0
RE1,COA,2044,0.0
RE1,COA,2045,0.0
RE1,COA,2046,0.0
RE1,COA,2047,0.0
RE1,COA,2048,0.0
RE1,COA,2049,0.0
RE1,COA,2050,0.0
RE1,COA,2051,0.0
RE1,COA,2052,0.0
RE1,COA,2053,0.0
RE1,COA,2054,0.0
RE1,COA,2055,0.0
RE1,COA002,2022,0.0
RE1,COA002,2023,0.0
RE1,COA002,2024,0.0
RE1,COA002,2025,0.0
RE1,COA002,2026,0.0
RE1,COA002,2027,0.0
RE1,COA002,2028,0.0
RE1,COA002,2029,0.0
RE1,COA002,2030,0.0
RE1,COA002,2031,0.0
RE1,COA002,2032,0.0
RE1,COA002,2033,0.0
RE1,COA002,2034,0.0
RE1,COA002,2035,0.0
RE1,COA002,2036,0.0
RE1,COA002,2037,0.0
RE1,COA002,2038,0.0
RE1,COA002,2039,0.0
RE1,COA002,2040,0.0
RE1,COA002,2041,0.0
RE1,COA002,2042,0.0
RE1,COA002,2043,0.0
RE1,COA002,2044,0.0
RE1,COA002,2045,0.0
RE1,COA002,2046,0.0
RE1,COA002,2047,0.0
RE1,COA002,2048,0.0
RE1,COA002,2049,0.0
RE1,COA002,2050,0.0
RE1,COA002,2051,0.0
RE1,COA002,2052,0.0
RE1,COA002,2053,0.0
RE1,COA002,2054,0.0
RE1,COA002,2055,0.0
RE1,COA003,2022,0.0
RE1,COA003,2023,0.0
RE1,COA003,2024,0.0
RE1,COA003,2025,0.0
RE1,COA003,2026,0.0
RE1,COA003,2027,0.0
RE1,COA003,2028,0.0
RE1,COA003,2029,0.0
RE1,COA003,2030,0.0
RE1,COA003,2031,0.0
RE1,COA003,2032,0.0
RE1,COA003,2033,0.0
RE1,COA003,2034,0.0
RE1,COA003,2035,0.0
RE1,COA003,2036,0.0
RE1,COA003,2037,0.0
RE1,COA003,2038,0.0
RE1,COA003,2039,0.0
RE1,COA003,2040,0.0
RE1,COA003,2041,0.0
RE1,COA003,2042,0.0
RE1,COA003,2043,0.0
RE1,COA003,2044,0.0
RE1,COA003,2045,0.0
RE1,COA003,2046,0.0
RE1,COA003,2047,0.0
RE1,COA003,2048,0.0
RE1,COA003,2049,0.0
RE1,COA003,2050,0.0
RE1,COA003,2051,0.0
RE1,COA003,2052,0.0
RE1,COA003,2053,0.0
RE1,COA003,2054,0.0
RE1,COA003,2055,0.0
RE1,CONSDSL,2022,0.636751373829963
RE1,CONSDSL,2023,0.5303265350249718
RE1,CONSDSL,2024,0.5393420855571458
RE1,CONSDSL,2025,0.5375126236955514
RE1,CONSDSL,2026,0.5566053788225473
RE1,CONSDSL,2027,0.5769385144400743
RE1,CONSDSL,2028,0.5980192135954672
RE1,CONSDSL,2029,0.6199195455799704
RE1,CONSDSL,2030,0.642532743203322
RE1,CONSDSL,2031,0.6658745191731688
RE1,CONSDSL,2032,0.6901195435850007
RE1,CONSDSL,2033,0.715313232526801
RE1,CONSDSL,2034,0.7414138190774924
RE1,CONSDSL,2035,0.768668953900034
RE1,CONSDSL,2036,0.7969281088323145
RE1,CONSDSL,2037,0.8262263420226534
RE1,CONSDSL,2038,0.8566063509585621
RE1,CONSDSL,2039,0.8881086972169471
RE1,CONSDSL,2040,0.920774704209612
RE1,CONSDSL,2041,0.9546475176136908
RE1,CONSDSL,2042,0.989754332202569
RE1,CONSDSL,2043,1.026158380421601
RE1,CONSDSL,2044,1.063907784240878
RE1,CONSDSL,2045,1.103052457106711
RE1,CONSDSL,2046,1.143644170297212
RE1,CONSDSL,2047,1.185737336904569
RE1,CONSDSL,2048,1.229372880115568
RE1,CONSDSL,2049,1.274601070300951
RE1,CONSDSL,2050,1.321501394921954
RE1,CONSDSL,2051,1.370136194769921
RE1,CONSDSL,2052,1.42056988150132
RE1,CONSDSL,2053,1.472868307114317
RE1,CONSDSL,2054,1.526924025770444
RE1,CONSDSL,2055,1.526924025770444
RE1,CONSELC,2022,0.0
RE1,CONSELC,2023,0.0
RE1,CONSELC,2024,0.0
RE1,CONSELC,2025,0.0
RE1,CONSELC,2026,0.0
RE1,CONSELC,2027,0.0
RE1,CONSELC,2028,0.0
RE1,CONSELC,2029,0.0
RE1,CONSELC,2030,0.0
RE1,CONSELC,2031,0.0
RE1,CONSELC,2032,0.0
RE1,CONSELC,2033,0.0
RE1,CONSELC,2034,0.0
RE1,CONSELC,2035,0.0
RE1,CONSELC,2036,0.0
RE1,CONSELC,2037,0.0
RE1,CONSELC,2038,0.0
RE1,CONSELC,2039,0.0
RE1,CONSELC,2040,0.0
RE1,CONSELC,2041,0.0
RE1,CONSELC,2042,0.0
RE1,CONSELC,2043,0.0
RE1,CONSELC,2044,0.0
RE1,CONSELC,2045,0.0
RE1,CONSELC,2046,0.0
RE1,CONSELC,2047,0.0
RE1,CONSELC,2048,0.0
RE1,CONSELC,2049,0.0
RE1,CONSELC,2050,0.0
RE1,CONSELC,2051,0.0
RE1,CONSELC,2052,0.0
RE1,CONSELC,2053,0.0
RE1,CONSELC,2054,0.0
RE1,CONSELC,2055,0.0
RE1,CONSGSL,2022,7.739926536101362
RE1,CONSGSL,2023,9.157492474070112
RE1,CONSGSL,2024,9.313169834635785
RE1,CONSGSL,2025,9.28157932931592
RE1,CONSGSL,2026,9.611266323656707
RE1,CONSGSL,2027,9.962371772958136
RE1,CONSGSL,2028,10.32638588705092
RE1,CONSGSL,2029,10.70455313316131
RE1,CONSGSL,2030,11.09502989292113
RE1,CONSGSL,2031,11.49808748785115
RE1,CONSGSL,2032,11.91674205985442
RE1,CONSGSL,2033,12.35177783799807
RE1,CONSGSL,2034,12.80247360574833
RE1,CONSGSL,2035,13.27310570783251
RE1,CONSGSL,2036,13.76107487677979
RE1,CONSGSL,2037,14.26698648439061
RE1,CONSGSL,2038,14.79157781589332
RE1,CONSGSL,2039,15.3355492743616
RE1,CONSGSL,2040,15.89961441796674
RE1,CONSGSL,2041,16.48451827111818
RE1,CONSGSL,2042,17.09073042361792
RE1,CONSGSL,2043,17.71934275113893
RE1,CONSGSL,2044,18.37118620697088
RE1,CONSGSL,2045,19.04712267898597
RE1,CONSGSL,2046,19.74804613544394
RE1,CONSGSL,2047,20.4748961625227
RE1,CONSGSL,2048,21.22837940744846
RE1,CONSGSL,2049,22.00936392133923
RE1,CONSGSL,2050,22.81922226577705
RE1,CONSGSL,2051,23.65903091966642
RE1,CONSGSL,2052,24.52990212088398
RE1,CONSGSL,2053,25.43297297862126
RE1,CONSGSL,2054,26.36638815585105
RE1,CONSGSL,2055,26.36638815585105
RE1,CONSNGS,2022,0.1090321931093702
RE1,CONSNGS,2023,0.08177414487463
RE1,CONSNGS,2024,0.0830825310224671
RE1,CONSNGS,2025,0.0828007129965043
RE1,CONSNGS,2026,0.0857418415726369
RE1,CONSNGS,2027,0.0888740435942575
