REGION,EMISSION,YEAR,VALUE
RE1,EMIBC,2022,0.0
RE1,EMIBC,2023,0.0
RE1,EMIBC,2024,0.0
RE1,EMIBC,2025,0.0
RE1,EMIBC,2026,0.0
RE1,EMIBC,2027,0.0
RE1,EMIBC,2028,0.0
RE1,EMIBC,2029,0.0
RE1,EMIBC,2030,0.0
RE1,EMIBC,2031,0.0
RE1,EMIBC,2032,0.0
RE1,EMIBC,2033,0.0
RE1,EMIBC,2034,0.0
RE1,EMIBC,2035,0.0
RE1,EMIBC,2036,0.0
RE1,EMIBC,2037,0.0
RE1,EMIBC,2038,0.0
RE1,EMIBC,2039,0.0
RE1,EMIBC,2040,0.0
RE1,EMIBC,2041,0.0
RE1,EMIBC,2042,0.0
RE1,EMIBC,2043,0.0
RE1,EMIBC,2044,0.0
RE1,EMIBC,2045,0.0
RE1,EMIBC,2046,0.0
RE1,EMIBC,2047,0.0
RE1,EMIBC,2048,0.0
RE1,EMIBC,2049,0.0
RE1,EMIBC,2050,0.0
RE1,EMIBC,2051,0.0
RE1,EMIBC,2052,0.0
RE1,EMIBC,2053,0.0
RE1,EMIBC,2054,0.0
RE1,EMIBC,2055,0.0
RE1,EMIC02,2022,0.0
RE1,EMIC02,2023,0.0
RE1,EMIC02,2024,0.0
RE1,EMIC02,2025,0.0
RE1,EMIC02,2026,0.0
RE1,EMIC02,2027,0.0
RE1,EMIC02,2028,0.0
RE1,EMIC02,2029,0.0
RE1,EMIC02,2030,0.0
RE1,EMIC02,2031,0.0
RE1,EMIC02,2032,0.0
RE1,EMIC02,2033,0.0
RE1,EMIC02,2034,0.0
RE1,EMIC02,2035,0.0
RE1,EMIC02,2036,0.0
RE1,EMIC02,2037,0.0
RE1,EMIC02,2038,0.0
RE1,EMIC02,2039,0.0
RE1,EMIC02,2040,0.0
RE1,EMIC02,2041,0.0
RE1,EMIC02,2042,0.0
RE1,EMIC02,2043,0.0
RE1,EMIC02,2044,0.0
RE1,EMIC02,2045,0.0
RE1,EMIC02,2046,0.0
RE1,EMIC02,2047,0.0
RE1,EMIC02,2048,0.0
RE1,EMIC02,2049,0.0
RE1,EMIC02,2050,0.0
RE1,EMIC02,2051,0.0
RE1,EMIC02,2052,0.0
RE1,EMIC02,2053,0.0
RE1,EMIC02,2054,0.0
RE1,EMIC02,2055,0.0
RE1,EMICH4,2022,0.0
RE1,EMICH4,2023,0.0
RE1,EMICH4,2024,0.0
RE1,EMICH4,2025,0.0
RE1,EMICH4,2026,0.0
RE1,EMICH4,2027,0.0
RE1,EMICH4,2028,0.0
RE1,EMICH4,2029,0.0
RE1,EMICH4,2030,0.0
RE1,EMICH4,2031,0.0
RE1,EMICH4,2032,0.0
RE1,EMICH4,2033,0.0
RE1,EMICH4,2034,0.0
RE1,EMICH4,2035,0.0
RE1,EMICH4,2036,0.0
RE1,EMICH4,2037,0.0
RE1,EMICH4,2038,0.0
RE1,EMICH4,2039,0.0
RE1,EMICH4,2040,0.0
RE1,EMICH4,2041,0.0
RE1,EMICH4,2042,0.0
RE1,EMICH4,2043,0.0
RE1,EMICH4,2044,0.0
RE1,EMICH4,2045,0.0
RE1,EMICH4,2046,0.0
RE1,EMICH4,2047,0.0
RE1,EMICH4,2048,0.0
RE1,EMICH4,2049,0.0
RE1,EMICH4,2050,0.0
RE1,EMICH4,2051,0.0
RE1,EMICH4,2052,0.0
RE1,EMICH4,2053,0.0
RE1,EMICH4,2054,0.0
RE1,EMICH4,2055,0.0
RE1,EMICO,2022,0.0
RE1,EMICO,2023,0.0
RE1,EMICO,2024,0.0
RE1,EMICO,2025,0.0
RE1,EMICO,2026,0.0
RE1,EMICO,2027,0.0
RE1,EMICO,2028,0.0
RE1,EMICO,2029,0.0
RE1,EMICO,2030,0.0
RE1,EMICO,2031,0.0
RE1,EMICO,2032,0.0
RE1,EMICO,2033,0.0
RE1,EMICO,2034,0.0
RE1,EMICO,2035,0.0
RE1,EMICO,2036,0.0
RE1,EMICO,2037,0.0
RE1,EMICO,2038,0.0
RE1,EMICO,2039,0.0
RE1,EMICO,2040,0.0
RE1,EMICO,2041,0.0
RE1,EMICO,2042,0.0
RE1,EMICO,2043,0.0
RE1,EMICO,2044,0.0
RE1,EMICO,2045,0.0
RE1,EMICO,2046,0.0
RE1,EMICO,2047,0.0
RE1,EMICO,2048,0.0
RE1,EMICO,2049,0.0
RE1,EMICO,2050,0.0
RE1,EMICO,2051,0.0
RE1,EMICO,2052,0.0
RE1,EMICO,2053,0.0
RE1,EMICO,2054,0.0
RE1,EMICO,2055,0.0
RE1,EMICOVDM,2022,0.0
RE1,EMICOVDM,2023,0.0
RE1,EMICOVDM,2024,0.0
RE1,EMICOVDM,2025,0.0
RE1,EMICOVDM,2026,0.0
RE1,EMICOVDM,2027,0.0
RE1,EMICOVDM,2028,0.0
RE1,EMICOVDM,2029,0.0
RE1,EMICOVDM,2030,0.0
RE1,EMICOVDM,2031,0.0
RE1,EMICOVDM,2032,0.0
RE1,EMICOVDM,2033,0.0
RE1,EMICOVDM,2034,0.0
RE1,EMICOVDM,2035,0.0
RE1,EMICOVDM,2036,0.0
RE1,EMICOVDM,2037,0.0
RE1,EMICOVDM,2038,0.0
RE1,EMICOVDM,2039,0.0
RE1,EMICOVDM,2040,0.0
RE1,EMICOVDM,2041,0.0
RE1,EMICOVDM,2042,0.0
RE1,EMICOVDM,2043,0.0
RE1,EMICOVDM,2044,0.0
RE1,EMICOVDM,2045,0.0
RE1,EMICOVDM,2046,0.0
RE1,EMICOVDM,2047,0.0
RE1,EMICOVDM,2048,0.0
RE1,EMICOVDM,2049,0.0
RE1,EMICOVDM,2050,0.0
RE1,EMICOVDM,2051,0.0
RE1,EMICOVDM,2052,0.0
RE1,EMICOVDM,2053,0.0
RE1,EMICOVDM,2054,0.0
RE1,EMICOVDM,2055,0.0
RE1,EMIN2O,2022,0.0
RE1,EMIN2O,2023,0.0
