REGION,FUEL,YEAR,VALUE
RE1,AGFELC,2022,3.187044026954857
RE1,AGFELC,2023,3.351383972607565
RE1,AGFELC,2024,3.406067970091571
RE1,AGFELC,2025,3.532115961122605
RE1,AGFELC,2026,3.629025584379814
RE1,AGFELC,2027,3.733136634602677
RE1,AGFELC,2028,3.841647411981113
RE1,AGFELC,2029,3.95368686085269
RE1,AGFELC,2030,4.068490551673469
RE1,AGFELC,2031,4.186085114520813
RE1,AGFELC,2032,4.307487911584928
RE1,AGFELC,2033,4.432885602691693
RE1,AGFELC,2034,4.561922212520638
RE1,AGFELC,2035,4.701856423681391
RE1,AGFELC,2036,4.845994629559388
RE1,AGFELC,2037,5.000304335115323
RE1,AGFELC,2038,5.159284807866439
RE1,AGFELC,2039,5.323081617996461
RE1,AGFELC,2040,5.491840394178453
RE1,AGFELC,2041,5.66571304057644
RE1,AGFELC,2042,5.862501077279783
RE1,AGFELC,2043,6.06536766629266
RE1,AGFELC,2044,6.274496416423308
RE1,AGFELC,2045,6.490076734505123
RE1,AGFELC,2046,6.712304015675426
RE1,AGFELC,2047,6.941384002636089
RE1,AGFELC,2048,7.189608349420947
RE1,AGFELC,2049,7.463826079194737
RE1,AGFELC,2050,7.746824139632172
RE1,AGFELC,2051,8.038864472697721
RE1,AGFELC,2052,8.340215882448545
RE1,AGFELC,2053,8.651150066865064
RE1,AGFELC,2054,8.974516880456846
RE1,AGFELC,2055,8.974516880456846
RE1,COA003,2022,0.0
RE1,COA003,2023,0.0
RE1,COA003,2024,0.0
RE1,COA003,2025,0.0
RE1,COA003,2026,0.0
RE1,COA003,2027,0.0
RE1,COA003,2028,0.0
RE1,COA003,2029,0.0
RE1,COA003,2030,0.0
RE1,COA003,2031,0.0
RE1,COA003,2032,0.0
RE1,COA003,2033,0.0
RE1,COA003,2034,0.0
RE1,COA003,2035,0.0
RE1,COA003,2036,0.0
RE1,COA003,2037,0.0
RE1,COA003,2038,0.0
RE1,COA003,2039,0.0
RE1,COA003,2040,0.0
RE1,COA003,2041,0.0
RE1,COA003,2042,0.0
RE1,COA003,2043,0.0
RE1,COA003,2044,0.0
RE1,COA003,2045,0.0
RE1,COA003,2046,0.0
RE1,COA003,2047,0.0
RE1,COA003,2048,0.0
RE1,COA003,2049,0.0
RE1,COA003,2050,0.0
RE1,COA003,2051,0.0
RE1,COA003,2052,0.0
RE1,COA003,2053,0.0
RE1,COA003,2054,0.0
RE1,COA003,2055,0.0
RE1,CONSELC,2022,0.3453119997522785
RE1,CONSELC,2023,0.4814279997084342
RE1,CONSELC,2024,0.39931199933082
RE1,CONSELC,2025,0.3979575230286451
RE1,CONSELC,2026,0.4120932013423798
RE1,CONSELC,2027,0.4271472185487545
RE1,CONSELC,2028,0.4427547084006467
RE1,CONSELC,2029,0.4589690287456036
RE1,CONSELC,2030,0.4757111324976512
RE1,CONSELC,2031,0.4929926528537407
RE1,CONSELC,2032,0.5109429100855906
RE1,CONSELC,2033,0.5295955288432699
RE1,CONSELC,2034,0.5489195862056716
RE1,CONSELC,2035,0.5690984349724568
RE1,CONSELC,2036,0.5900206288037645
RE1,CONSELC,2037,0.6117121236553288
RE1,CONSELC,2038,0.6342045314105188
