REGION,TECHNOLOGY,YEAR,VALUE
RE1,BACKSTOP_1,2022,9999999999.0
RE1,BACKSTOP_1,2023,9999999999.0
RE1,BACKSTOP_1,2024,9999999999.0
RE1,BACKSTOP_1,2025,9999999999.0
RE1,BACKSTOP_1,2026,9999999999.0
RE1,BACKSTOP_1,2027,9999999999.0
RE1,BACKSTOP_1,2028,9999999999.0
RE1,BACKSTOP_1,2029,9999999999.0
RE1,BACKSTOP_1,2030,9999999999.0
RE1,BACKSTOP_1,2031,9999999999.0
RE1,BACKSTOP_1,2032,9999999999.0
RE1,BACKSTOP_1,2033,9999999999.0
RE1,BACKSTOP_1,2034,9999999999.0
RE1,BACKSTOP_1,2035,9999999999.0
RE1,BACKSTOP_1,2036,9999999999.0
RE1,BACKSTOP_1,2037,9999999999.0
RE1,BACKSTOP_1,2038,9999999999.0
RE1,BACKSTOP_1,2039,9999999999.0
RE1,BACKSTOP_1,2040,9999999999.0
RE1,BACKSTOP_1,2041,9999999999.0
RE1,BACKSTOP_1,2042,9999999999.0
RE1,BACKSTOP_1,2043,9999999999.0
RE1,BACKSTOP_1,2044,9999999999.0
RE1,BACKSTOP_1,2045,9999999999.0
RE1,BACKSTOP_1,2046,9999999999.0
RE1,BACKSTOP_1,2047,9999999999.0
RE1,BACKSTOP_1,2048,9999999999.0
RE1,BACKSTOP_1,2049,9999999999.0
RE1,BACKSTOP_1,2050,9999999999.0
RE1,BACKSTOP_1,2051,9999999999.0
RE1,BACKSTOP_1,2052,9999999999.0
RE1,BACKSTOP_1,2053,9999999999.0
RE1,BACKSTOP_1,2054,9999999999.0
RE1,BACKSTOP_1,2055,9999999999.0
RE1,BACKSTOP_2,2022,9999999999.0
RE1,BACKSTOP_2,2023,9999999999.0
RE1,BACKSTOP_2,2024,9999999999.0
RE1,BACKSTOP_2,2025,9999999999.0
RE1,BACKSTOP_2,2026,9999999999.0
RE1,BACKSTOP_2,2027,9999999999.0
RE1,BACKSTOP_2,2028,9999999999.0
RE1,BACKSTOP_2,2029,9999999999.0
RE1,BACKSTOP_2,2030,9999999999.0
RE1,BACKSTOP_2,2031,9999999999.0
RE1,BACKSTOP_2,2032,9999999999.0
RE1,BACKSTOP_2,2033,9999999999.0
RE1,BACKSTOP_2,2034,9999999999.0
RE1,BACKSTOP_2,2035,9999999999.0
RE1,BACKSTOP_2,2036,9999999999.0
RE1,BACKSTOP_2,2037,9999999999.0
RE1,BACKSTOP_2,2038,9999999999.0
RE1,BACKSTOP_2,2039,9999999999.0
RE1,BACKSTOP_2,2040,9999999999.0
RE1,BACKSTOP_2,2041,9999999999.0
RE1,BACKSTOP_2,2042,9999999999.0
RE1,BACKSTOP_2,2043,9999999999.0
RE1,BACKSTOP_2,2044,9999999999.0
RE1,BACKSTOP_2,2045,9999999999.0
RE1,BACKSTOP_2,2046,9999999999.0
RE1,BACKSTOP_2,2047,9999999999.0
RE1,BACKSTOP_2,2048,9999999999.0
RE1,BACKSTOP_2,2049,9999999999.0
RE1,BACKSTOP_2,2050,9999999999.0
RE1,BACKSTOP_2,2051,9999999999.0
RE1,BACKSTOP_2,2052,9999999999.0
RE1,BACKSTOP_2,2053,9999999999.0
RE1,BACKSTOP_2,2054,9999999999.0
RE1,BACKSTOP_2,2055,9999999999.0
RE1,BBGDST,2022,99999.0
RE1,BBGDST,2023,99999.0
RE1,BBGDST,2024,99999.0
RE1,BBGDST,2025,99999.0
RE1,BBGDST,2026,99999.0
RE1,BBGDST,2027,99999.0
RE1,BBGDST,2028,99999.0
RE1,BBGDST,2029,99999.0
RE1,BBGDST,2030,99999.0
RE1,BBGDST,2031,99999.0
RE1,BBGDST,2032,99999.0
RE1,BBGDST,2033,99999.0
RE1,BBGDST,2034,99999.0
RE1,BBGDST,2035,99999.0
RE1,BBGDST,2036,99999.0
RE1,BBGDST,2037,99999.0
RE1,BBGDST,2038,99999.0
RE1,BBGDST,2039,99999.0
RE1,BBGDST,2040,99999.0
RE1,BBGDST,2041,99999.0
RE1,BBGDST,2042,99999.0
RE1,BBGDST,2043,99999.0
RE1,BBGDST,2044,99999.0
